Ragione sociale;ID;Indirizzo sede legale - Regione;ROA;EBITDA/V;ILG;CCN/ATT;IND_FIN;INT_TERZI
REDEM S.R.L.;ID86_19;Campania;0.023498285;0.782712179;1.972369757;0.406232583;0.202958549;0.254639892
DEESCOVERY S.R.L.;ID87_19;Emilia-Romagna;0.028380038;0.042583006;1.213035019;0.172942068;0.188198875;0.231828794
SOFTHINGS S.R.L.;ID88_19;Puglia;0.294418843;0.471818606;5.799947767;0.442047286;0.548163648;5.952206843
EDUCABILE S.R.L.;ID89_19;Campania;0.022901907;0.075594953;1.007120435;0.006015135;0.155229287;0.183753158
MERITS S.R.L. SB;ID90_19;Lombardia;0.170421523;0.168742775;0.285395337;-0.330084786;0.166699815;0.360890505
ARKELYA S.R.L.;ID91_19;Marche;0.124257784;0.188506049;3.103022975;0.670547866;0.681111925;2.136154776
WEEE S.R.L.;ID92_19;Lombardia;-0.59273993;-10.82138024;0.176220439;-0.966664581;-0.173450552;-0.147812408
ESIMPLE TECH S.R.L.;ID93_19;Toscana;-0.430671752;-0.469543066;0.851615963;-0.170333575;-0.167815883;-0.14619078
ORTHOGETHER S.R.L.;ID94_19;Lombardia;0.132712093;0.354347728;0.202140447;-1.066837689;-0.438702499;-0.328093939
SENTETIC S.R.L.;ID95_19;Umbria;0.002214819;0.370577706;1.416658461;0.222841829;0.074389837;0.080368432
ALSIDA S.R.L.;ID96_19;Puglia;0.062607148;0.153649669;3.765981812;0.43203005;0.803202795;5.142337487
KEYWORLD S.R.L. (START-UP COSTITUITA A NORMA DELL'ARTICOLO 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015. N.3);ID97_19;Veneto;-0.001272113;0.0746332;1.174886824;0.057729364;0.403554996;1.070631195
HOMEERO S.R.L.;ID98_19;Piemonte;-0.548856409;-1.851381027;0.297583156;-0.703030492;-0.392519824;-0.282029931
SOCIETA' COOPERATIVA SMARTECH A R.L;ID99_19;Sicilia;0.018762019;0.488712446;0.327324314;-0.580657083;0.133727922;0.154387954
LGF S.R.L.;ID100_19;Lazio;0.001090898;0.041259191;1.291495033;0.206973677;0.289958135;0.40836766
GDVERSE S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N. 3.;ID101_19;Lazio;0.373216123;0.377553763;6.852196142;0.82767461;0.858570255;6.070648385
TASKOMAT S.R.L.;ID102_19;Marche;0.055067622;0.131842357;0.184821897;-0.961013746;-0.212955326;-0.180638955
DIGITAL NOVELS S.R.L.;ID103_19;Marche;-0.183325672;-0.161144237;7.243307555;0.744801646;0.880703995;7.38251041
TECNIRA S.R.L.;ID104_19;Lombardia;0.127892929;0.266079979;3.469175604;0.696956191;0.717737293;2.542798868
SHARE EMOTIONS S.R.L.;ID105_19;Lazio;0.105069171;0.230401396;0.646630237;-0.191018611;0.273418797;0.376598857
C2 PROJECT S.R.L.;ID106_19;Puglia;0.004908065;0.102574782;1.877906071;0.43733796;0.189953891;0.234900553
MUG STUDIO S.R.L.;ID107_19;Emilia-Romagna;0.113594169;0.869063124;0.80915124;-0.051242615;0.4273469;1.591617185
O.D.I. S.R.L.;ID108_19;Marche;0.026156286;0.149833333;1.744653943;0.327982581;0.559550334;1.27040699
WRITEXP SRL;ID109_19;Lombardia;0.057905939;1.693008066;3.093754211;0.085866575;0.040894766;0.042649146
FZPRO S.R.L.;ID110_19;Emilia-Romagna;0.036979199;0.231616659;1.418050073;0.217519343;0.395273154;0.759674832
SMART HUB S.R.L.;ID111_19;Sicilia;0.004896546;0.075222222;3.275729318;0.694724471;0.694724471;2.275729318
HIQ SOLUTIONS S.R.L.;ID112_19;Lazio;0.154510801;0.200381576;0.947700114;-0.042869006;0.178593177;0.217882424
DS24 S.R.L. IN LIQUIDAZIONE;ID113_19;Veneto;0.040257991;0.073980583;1.075125702;0.016451843;0.369551137;0.58617147
TO BE KIDS S.R.L. START-UP COSTITUITA A NORMA DELL'ART.4 COMMA 10BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N.3;ID114_19;Lazio;0.040186619;0.097409326;1.074697149;0.051306742;0.31313655;0.455893454
BEMYGURU S.R.L.;ID115_19;Lazio;-0.23413578;0.912;0.97987315;-0.009015664;0.50885467;1.036057229
TRUSTEET S.R.L.;ID116_19;Lombardia;-0.313058308;-0.896770388;2.001429116;0.238366292;0.761180152;3.197884909
BIO-MAD S.R.L.S.;ID117_19;Calabria;0.001785094;0.218255369;1.598838096;0.293794651;0.022457453;0.045774755
CHIEF HAPPINESS OFFICER SOCIETA' A RESPONSABILITA' LIMITATA SEMPL IFICATA;ID118_19;Lazio;0.033732032;0.272660925;1.352492669;0.172982826;0.421040008;0.727235065
KAIROS TECH S.R.L.;ID119_19;Umbria;-0.358031307;-4.208321039;4.280345353;0.289109709;-0.207152768;-0.171604435
AREAWFI. INTEGRATED SYSTEM S.R.L.;ID120_19;Lombardia;-0.286779827;0.194591029;0.330744557;-0.35053868;0.476204434;0.909179008
WSIDE - SOCIETA' A RESPONSABILITA' LIMITATA;ID121_19;Lazio;-0.123890507;0.314868805;0.463752763;-0.583258191;-0.087666566;-0.08060059
PROMARKET 11 SRL;ID122_19;Lombardia;-0.71450053;-2.85862817;0.856059629;-0.082776926;0.424641839;0.738407511
BIPART IMPRESA SOCIALE S.R.L.;ID123_19;Lombardia;-0.094029018;-0.108155542;2.732931638;0.570075206;0.413557395;0.710778788
ZARCLE S.R.L.;ID124_19;Marche;-0.130238344;-0.243913043;10.07483278;0.789115894;0.817525811;4.480227114
RESEARCH AND INNOVATION FOR VALUE S.R.L. IN BREVE RI4VALUE S.R.L.;ID01_20;Calabria;-0.024710408;-0.00907632;1.059047617;0.053812657;0.071282916;0.078217404
DIGITAL TOPICS S.R.L.;ID02_20;Lazio;0.005453258;0.007771163;1.016323841;0.016057583;0.009726093;0.009887365
BTOCODE S.R.L START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015. N. 3;ID03_20;Abruzzo;0.11574144;0.350791941;1.411725802;0.246221038;0.228456338;0.302050997
BUSINESS FOLLOWS SRL;ID04_20;Lazio;0.331099459;0.998587144;1.523798709;0.126862608;0.747625565;3.086845776
3BEE S.R.L.;ID05_20;Lombardia;0.356045513;0.417150881;2.318852064;0.5113739;0.39022226;0.793884779
K-DIGITALE S.R.L.;ID06_20;Umbria;0.033386023;0.126967689;2.055029522;0.411796943;0.17760028;0.255968682
MEGARIDE S.R.L.;ID07_20;Campania;0.235582481;0.288437494;4.759468383;0.73960071;0.527771485;2.682718101
ANOTHEREALITY S.R.L.;ID08_20;Lombardia;0.127363897;0.155109489;2.972537815;0.636757005;0.580976879;1.799742843
FINDYNAMIC S.R.L.;ID09_20;Lombardia;0.085397398;0.301277448;3.434745102;0.284052218;0.658116932;2.18761504
PHARMACARE S.R.L.;ID10_20;Lombardia;-0.056732747;0.012683167;1.613586213;0.312243023;0.466328183;0.916377704
NACON STUDIO MILAN S.R.L;ID11_20;Lombardia;0.00891574;0.033963946;1.950700093;0.363502537;0.110171189;0.136024172
GRAMMELOT S.R.L.;ID12_20;Lombardia;0.0329651;0.044557772;1.63299404;0.380441599;0.093591257;0.139796953
INNOVATIVE ANT SOCIETA' A RESPONSABILITA' LIMITATA;ID13_20;Puglia;0.17707554;0.290451413;1.296371949;0.16176211;0.18683173;0.342303176
TECH ENGINES S.R.L.;ID14_20;Toscana;0.000879908;0.044872874;1.739835321;0.143865265;0.788590833;4.055373273
SWEEXO S.R.L.;ID15_20;Piemonte;0.009319034;0.050203623;1.217207631;0.164207839;0.090414445;0.105382509
INNOVATICS S.R.L.;ID16_20;Campania;0.028115501;0.056975591;1.328213915;0.217272386;0.282387481;0.403267187
DIGISTONE S.R.L.;ID17_20;Basilicata;0.013034876;0.143637623;5.086719574;0.561086831;0.146685976;0.350210745
SMARTVISIT S.R.L.;ID18_20;Campania;0.00898619;0.514696978;1.410091582;0.123521859;0.094631208;0.166562537
PAYDO S.P.A.;ID19_20;Lombardia;-0.728007442;-3.89239776;2.790125825;0.339087288;0.744275155;3.92921298
TUKO PRODUCTIONS S.R.L.;ID20_20;Campania;-0.070822092;0.223400605;2.761703632;0.265392321;0.810685072;5.381417337
GEODATALAB S.R.L.S.;ID21_20;Calabria;0.252056615;0.423261753;7.190067125;0.777383415;0.538085975;3.868006877
AXYON AI SRL;ID22_20;Emilia-Romagna;-0.278824463;-0.434276682;3.807215273;0.356438692;0.769150811;6.057624928
