Ragione sociale;ID;Indirizzo sede legale - Regione;ROA;EBITDA/V;ILG;CCN/ATT;IND_FIN;INT_TERZI
ALSIDA S.R.L.;ID96_20;Puglia;0.021114067;0.063222801;3.623744452;0.436098034;0.76126183;4.096150833
KEYWORLD S.R.L. (START-UP COSTITUITA A NORMA DELL'ARTICOLO 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015. N.3);ID97_20;Veneto;0.012539548;0.07973548;1.539787185;0.176733442;0.400954292;1.051648788
HOMEERO S.R.L.;ID98_20;Piemonte;-0.114792281;-0.708236675;0.273031297;-0.499064729;0.064972808;0.069916053
SOCIETA' COOPERATIVA SMARTECH A R.L;ID99_20;Sicilia;-0.007563308;2.4244;0.40158303;-0.460437708;0.157445298;0.186883764
LGF S.R.L.;ID100_20;Lazio;0.003928654;0.030262836;1.187643773;0.151448843;0.170728068;0.211530562
GDVERSE S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N. 3.;ID101_20;Lazio;0.048931055;0.152944993;7.135829462;0.721178247;0.887443384;7.550423613
TASKOMAT S.R.L.;ID102_20;Marche;0.015797043;0.085022891;0.336304085;-0.683874332;-0.13939947;-0.12238358
DIGITAL NOVELS S.R.L.;ID103_20;Marche;0.192687047;0.405407763;1.916830529;0.468497637;0.376800268;0.737382565
TECNIRA S.R.L.;ID104_20;Lombardia;0.14330505;0.513837931;4.489449765;0.728034677;0.791361181;3.79297192
SHARE EMOTIONS S.R.L.;ID105_20;Lazio;-0.030953612;0.744321839;0.794401866;-0.057407364;0.295294364;0.419032215
C2 PROJECT S.R.L.;ID106_20;Puglia;-0.021436365;0.022549297;2.309994187;0.533916739;0.168655371;0.205614248
MUG STUDIO S.R.L.;ID107_20;Emilia-Romagna;0.077792845;0.959995187;0.881975548;-0.039643816;0.544258762;1.201570916
O.D.I. S.R.L.;ID108_20;Marche;0.003108456;0.11630303;1.164889492;0.079374708;0.518618759;1.077355564
WRITEXP SRL;ID109_20;Lombardia;-0.021556923;-1.020518519;2.357061043;0.055840962;0.019440301;0.019830597
FZPRO S.R.L.;ID110_20;Emilia-Romagna;-0.165936809;-0.881068508;2.006243304;0.358116725;0.354856099;0.673588061
SMART HUB S.R.L.;ID111_20;Sicilia;0.01058608;0.10016;2.17399601;0.540017555;0.540017555;1.17399601
HIQ SOLUTIONS S.R.L.;ID112_20;Lazio;-0.032652253;-1.364625;0.799534019;-0.141489072;0.26720474;0.378583727
DS24 S.R.L. IN LIQUIDAZIONE;ID113_20;Veneto;0.08655108;0.350375;1.474974903;0.097719293;0.419408137;0.722380323
TO BE KIDS S.R.L. START-UP COSTITUITA A NORMA DELL'ART.4 COMMA 10BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N.3;ID114_20;Lazio;-0.018638016;0.39175;1.290072074;0.130173337;0.551237956;1.228352452
BEMYGURU S.R.L.;ID115_20;Lazio;-0.347780666;0.775634518;1.001173594;0.000467017;0.513290523;1.054613785
TRUSTEET S.R.L.;ID116_20;Lombardia;-0.355119777;-3.051146384;0.960235008;-0.024313313;0.386143602;0.631546894
BIO-MAD S.R.L.S.;ID117_20;Calabria;0.053385651;4.226285714;0.885506492;-0.089059288;0.12529824;0.161081853
CHIEF HAPPINESS OFFICER SOCIETA' A RESPONSABILITA' LIMITATA SEMPL IFICATA;ID118_20;Lazio;-0.053549436;0.462200957;1.377640845;0.195473876;0.389277035;0.637403631
KAIROS TECH S.R.L.;ID119_20;Umbria;0.013266734;0.658515659;3.606976503;0.369122992;0.124472388;0.142354302
AREAWFI. INTEGRATED SYSTEM S.R.L.;ID120_20;Lombardia;-0.309175102;-7.473960822;0.501243157;-0.389081737;0.219896944;0.281881916
WSIDE - SOCIETA' A RESPONSABILITA' LIMITATA;ID121_20;Lazio;-0.202387471;-0.55362117;0.494650886;-0.590387634;-0.168276778;-0.144038452
PROMARKET 11 SRL;ID122_20;Lombardia;-0.403520701;-1.498184459;0.328004441;-0.322671784;0.51892425;1.080710519
BIPART IMPRESA SOCIALE S.R.L.;ID123_20;Lombardia;-0.096927624;-14.265;0.999960814;-3.36239E-05;0.056815985;0.061124827
ZARCLE S.R.L.;ID124_20;Marche;-0.272127577;-2.544666667;36.33894583;0.860465945;0.650380564;1.860252881
